file,name,bank,status
hakodate.png,函館,400,normal
aomori.png,青森,400,normal
iwakitaira.png,いわき平,400,normal
yahiko.png,弥彦,400,normal
maebashi.png,前橋,335,dome
toride.png,取手,400,normal
utsunomiya.png,宇都宮,500,normal
omiya.png,大宮,500,normal
seibuen.png,西武園,400,normal
keiokaku.png,京王閣,400,normal
tachikawa.png,立川,400,normal
matsudo.png,松戸,333,normal
kawasaki.png,川崎,400,normal
hiratsuka.png,平塚,400,normal
odawara.png,小田原,333,normal
ito.png,伊東温泉,333,normal
shizuoka.png,静岡,400,normal
pist6.png,PIST6,250,pist6
nagoya.png,名古屋,400,normal
gifu.png,岐阜,400,normal
ogaki.png,大垣,400,normal
toyohashi.png,豊橋,400,normal
toyama.png,富山,333,normal
matsusaka.png,松阪,400,normal
yokkaichi.png,四日市,400,normal
fukui.png,福井,400,paused
nara.png,奈良,333,normal
mukomachi.png,京都向日町,400,paused
wakayama.png,和歌山,400,normal
kishiwada.png,岸和田,400,normal
tamano.png,玉野,400,normal
hiroshima.png,広島,400,normal
hofu.png,防府,333,normal
takamatsu.png,高松,400,paused
komatsushima.png,小松島,400,normal
kochi.png,高知,500,normal
matsuyama.png,松山,400,normal
kokura.png,小倉,400,dome
kurume.png,久留米,400,normal
takeo.png,武雄,400,normal
sasebo.png,佐世保,400,normal
beppu.png,別府,400,normal
kumamoto.png,熊本,400,normal
